block,trial,!Condition,!item,bgr,wgr,style,stim,loc,time,stim,loc,time,stim,loc,time,stim,loc,time,stim,loc,time,stim,loc,time,stim,loc,time,stim,loc,time,stim,loc,time,stim,loc,time,*
1,66,,M-WN-pool,2,2,1,Stimuli\TargetPosition49.bmp,"0,0,1",500,!Audio\M-WN-pool.wav,"0,0,0",0,_Animation\GreenFrogSpeak.gif(1024x294),"0,.9,0",1500,Stimuli\TargetPosition49.bmp,"0,0,0","rt:-1,any<201",*,,,,,,,,,,,,,,,,,,
1,67,,F-WN-pig,2,2,1,Stimuli\TargetPosition50.bmp,"0,0,1",500,!Audio\F-WN-pig.wav,"0,0,0",0,_Animation\LadyFrogSpeak.gif(1024x294),"0,.9,0",1500,Stimuli\TargetPosition50.bmp,"0,0,0","rt:-1,any<201",*,,,,,,,,,,,,,,,,,,
1,68,,M-NN-rope,2,2,1,Stimuli\TargetPosition51.bmp,"0,0,1",500,!Audio\M-NN-rope.wav,"0,0,0",0,_Animation\GreenFrogSpeak.gif(1024x294),"0,.9,0",1500,Stimuli\TargetPosition51.bmp,"0,0,0","rt:-1,any<201",*,,,,,,,,,,,,,,,,,,
1,69,,F-NN-rake,2,2,1,Stimuli\TargetPosition52.bmp,"0,0,1",500,!Audio\F-NN-rake.wav,"0,0,0",0,_Animation\LadyFrogSpeak.gif(1024x294),"0,.9,0",1500,Stimuli\TargetPosition52.bmp,"0,0,0","rt:-1,any<201",*,,,,,,,,,,,,,,,,,,
0,70,FlyReward4,-,0,0,1,!Audio\FlyYum.wav,"0,0,0",0,_Animation\FlyReward4.gif(1024x768),"0,0,0",2500,*,,,,,,,,,,,,,,,,,,,,,,,,
0,71,,-,0,0,1,Background\Background_FlyReward4.bmp,"0,0,1",0,!Audio\FlyReward4.wav,"0,0,0",0,_Animation\GreenFrogSpeak.gif(1024x294),"0,.9,0",11000,*,,,,,,,,,,,,,,,,,,,,,
1,72,Set 4,M-NN-rug,2,2,1,Stimuli\TargetPosition53.bmp,"0,0,1",500,!Audio\M-NN-rug.wav,"0,0,0",0,_Animation\GreenFrogSpeak.gif(1024x294),"0,.9,0",1500,Stimuli\TargetPosition53.bmp,"0,0,0","rt:-1,any<201",*,,,,,,,,,,,,,,,,,,
1,73,,F-WN-ring,2,2,1,Stimuli\TargetPosition54.bmp,"0,0,1",500,!Audio\F-WN-ring.wav,"0,0,0",0,_Animation\LadyFrogSpeak.gif(1024x294),"0,.9,0",1500,Stimuli\TargetPosition54.bmp,"0,0,0","rt:-1,any<201",*,,,,,,,,,,,,,,,,,,
1,74,,M-WN-swing,2,2,1,Stimuli\TargetPosition55.bmp,"0,0,1",500,!Audio\M-WN-swing.wav,"0,0,0",0,_Animation\GreenFrogSpeak.gif(1024x294),"0,.9,0",1500,Stimuli\TargetPosition55.bmp,"0,0,0","rt:-1,any<201",*,,,,,,,,,,,,,,,,,,
1,75,,F-WN-snake,2,2,1,Stimuli\TargetPosition56.bmp,"0,0,1",500,!Audio\F-WN-snake.wav,"0,0,0",0,_Animation\LadyFrogSpeak.gif(1024x294),"0,.9,0",1500,Stimuli\TargetPosition56.bmp,"0,0,0","rt:-1,any<201",*,,,,,,,,,,,,,,,,,,
1,76,,M-NN-tape,2,2,1,Stimuli\TargetPosition57.bmp,"0,0,1",500,!Audio\M-NN-tape.wav,"0,0,0",0,_Animation\GreenFrogSpeak.gif(1024x294),"0,.9,0",1500,Stimuli\TargetPosition57.bmp,"0,0,0","rt:-1,any<201",*,,,,,,,,,,,,,,,,,,
1,77,,F-NN-tree,2,2,1,Stimuli\TargetPosition58.bmp,"0,0,1",500,!Audio\F-NN-tree.wav,"0,0,0",0,_Animation\LadyFrogSpeak.gif(1024x294),"0,.9,0",1500,Stimuli\TargetPosition58.bmp,"0,0,0","rt:-1,any<201",*,,,,,,,,,,,,,,,,,,
1,78,,M-WN-toy,2,2,1,Stimuli\TargetPosition59.bmp,"0,0,1",500,!Audio\M-WN-toy.wav,"0,0,0",0,_Animation\GreenFrogSpeak.gif(1024x294),"0,.9,0",1500,Stimuli\TargetPosition59.bmp,"0,0,0","rt:-1,any<201",*,,,,,,,,,,,,,,,,,,
1,79,,F-WN-truck,2,2,1,Stimuli\TargetPosition60.bmp,"0,0,1",500,!Audio\F-WN-truck.wav,"0,0,0",0,_Animation\LadyFrogSpeak.gif(1024x294),"0,.9,0",1500,Stimuli\TargetPosition60.bmp,"0,0,0","rt:-1,any<201",*,,,,,,,,,,,,,,,,,,
0,80,FlyReward5,-,0,0,1,!Audio\FlyYum.wav,"0,0,0",0,_Animation\FlyReward5.gif(1024x768),"0,0,0",2500,*,,,,,,,,,,,,,,,,,,,,,,,,
0,81,,-,0,0,1,Background\Background_FlyReward5.bmp,"0,0,1",0,!Audio\FlyReward5.wav,"0,0,0",0,_Animation\GreenFrogSpeak.gif(1024x294),"0,.9,0",4000,*,,,,,,,,,,,,,,,,,,,,,
