

# Program:          AlphaSim 
# Author:           B. Douglas Ward 
# Initial Release:  18 Jun 1997 
# Latest Revision:  09 Jun 2009 

# Data set dimensions: 
# nx =   240   ny =   240   nz =   130   (voxels)
# dx =  1.00   dy =  1.00   dz =  1.00   (mm)

# Gaussian filter widths: 
# sigmax =  3.40   FWHMx =  8.00 
# sigmay =  3.40   FWHMy =  8.00 
# sigmaz =  3.40   FWHMz =  8.00 

# Cluster connection radius: rmm =  1.00 

# Threshold probability: pthr = 5.000000e-03 

# Number of Monte Carlo iterations =  1000 

# Cl Size   Frequency    CumuProp     p/Voxel   Max Freq       Alpha
    393            96    0.951765  0.00139557          0    0.999997
    394            97    0.952029  0.00139053          0    0.999997
    395           115    0.952344  0.00138543          0    0.999997
    396           100    0.952617  0.00137936          0    0.999997
    397            90    0.952863  0.00137407          0    0.999997
    398           106    0.953152  0.00136930          0    0.999997
    399            89    0.953395  0.00136367          0    0.999997
    400            91    0.953644  0.00135892          0    0.999997
    401            97    0.953909  0.00135406          0    0.999997
    402            90    0.954154  0.00134887          0    0.999997
    403            80    0.954373  0.00134404          0    0.999997
    404            89    0.954616  0.00133973          0    0.999997
    405            99    0.954886  0.00133493          0    0.999997
    406            91    0.955135  0.00132957          0    0.999997
    407           110    0.955435  0.00132464          0    0.999997
    408            86    0.955670  0.00131866          0    0.999997
    409            87    0.955908  0.00131398          0    0.999997
    410            99    0.956178  0.00130922          0    0.999997
    411            86    0.956413  0.00130380          0    0.999997
    412            95    0.956673  0.00129908          0    0.999997
    413            74    0.956875  0.00129386          0    0.999997
    414            82    0.957099  0.00128977          0    0.999997
    415            79    0.957315  0.00128524          0    0.999997
    416            98    0.957582  0.00128086          0    0.999997
    417            65    0.957760  0.00127542          0    0.999997
    418            80    0.957978  0.00127180          0    0.999997
    419            89    0.958221  0.00126733          0    0.999997
    420            76    0.958429  0.00126235          0    0.999997
    421            87    0.958667  0.00125809          0    0.999997
    422            73    0.958866  0.00125320          0    0.999997
    423            81    0.959087  0.00124908          0    0.999997
    424            92    0.959339  0.00124451          0    0.999997
    425            80    0.959557  0.00123930          0    0.999997
    426            71    0.959751  0.00123476          0    0.999997
    427            70    0.959942  0.00123072          0    0.999997
    428           115    0.960256  0.00122673          0    0.999997
    429            63    0.960428  0.00122015          0    0.999997
    430            73    0.960628  0.00121654          0    0.999997
    431            96    0.960890  0.00121235          0    0.999997
    432            68    0.961076  0.00120683          0    0.999997
    433            79    0.961292  0.00120290          0    0.999997
    434            73    0.961491  0.00119834          0    0.999997
    435            71    0.961685  0.00119410          0    0.999997
    436            81    0.961906  0.00118998          0    0.999997
    437            80    0.962125  0.00118526          0    0.999997
    438            89    0.962368  0.00118059          0    0.999997
    439            71    0.962562  0.00117539          0    0.999997
    440            68    0.962747  0.00117123          0    0.999997
    441            67    0.962930  0.00116723          0    0.999997
    442            63    0.963102  0.00116328          0    0.999997
    443            62    0.963272  0.00115957          0    0.999997
    444            61    0.963438  0.00115590          0    0.999997
    445            82    0.963662  0.00115228          0    0.999997
    446            71    0.963856  0.00114741          0    0.999997
    447            77    0.964067  0.00114318          0    0.999997
    448            67    0.964250  0.00113858          0    0.999997
    449            85    0.964482  0.00113457          0    0.999997
    450            68    0.964667  0.00112948          0    0.999997
    451            53    0.964812  0.00112539          0    0.999997
    452            71    0.965006  0.00112220          0    0.999997
    453            66    0.965186  0.00111791          0    0.999997
    454            59    0.965348  0.00111392          0    0.999997
    455            72    0.965544  0.00111034          0    0.999997
    456            60    0.965708  0.00110597          0    0.999997
    457            68    0.965894  0.00110231          0    0.999997
    458            59    0.966055  0.00109816          0    0.999997
    459            62    0.966224  0.00109455          0    0.999997
    460            60    0.966388  0.00109075          0    0.999997
    461            57    0.966544  0.00108707          0    0.999997
    462            56    0.966697  0.00108356          0    0.999997
    463            85    0.966929  0.00108010          0    0.999997
    464            57    0.967085  0.00107485          0    0.999997
    465            70    0.967276  0.00107132          0    0.999997
    466            62    0.967445  0.00106697          0    0.999997
    467            66    0.967625  0.00106311          0    0.999997
    468            57    0.967781  0.00105899          0    0.999997
    469            66    0.967961  0.00105543          0    0.999997
    470            68    0.968147  0.00105130          0    0.999997
    471            47    0.968276  0.00104703          0    0.999997
    472            74    0.968478  0.00104407          0    0.999997
    473            59    0.968639  0.00103941          0    0.999997
    474            70    0.968830  0.00103568          0    0.999997
    475            62    0.968999  0.00103125          0    0.999997
    476            65    0.969177  0.00102732          0    0.999997
    477            53    0.969322  0.00102319          0    0.999997
    478            62    0.969491  0.00101981          0    0.999997
    479            53    0.969636  0.00101585          0    0.999997
    480            58    0.969794  0.00101246          0    0.999997
    481            44    0.969914  0.00100874          0    0.999997
    482            66    0.970095  0.00100592          0    0.999997
    483            56    0.970248  0.00100167          0    0.999997
    484            51    0.970387  0.00099806          0    0.999997
    485            49    0.970521  0.00099476          0    0.999997
    486            52    0.970663  0.00099159          0    0.999997
    487            53    0.970808  0.00098821          0    0.999997
    488            55    0.970958  0.00098477          0    0.999997
    489            50    0.971094  0.00098118          0    0.999997
    490            47    0.971223  0.00097792          0    0.999997
    491            55    0.971373  0.00097484          0    0.999997
    492            63    0.971545  0.00097123          0    0.999997
    493            46    0.971671  0.00096709          0    0.999997
    494            57    0.971826  0.00096407          0    0.999997
    495            63    0.971998  0.00096030          0    0.999997
    496            67    0.972181  0.00095614          0    0.999997
    497            57    0.972337  0.00095170          0    0.999997
    498            59    0.972498  0.00094792          0    0.999997
    499            56    0.972651  0.00094400          0    0.999997
    500            50    0.972788  0.00094026          0    0.999997
    501            55    0.972938  0.00093692          0    0.999997
    502            35    0.973034  0.00093324          0    0.999997
    503            54    0.973181  0.00093090          0    0.999997
    504            58    0.973339  0.00092727          0    0.999997
    505            51    0.973479  0.00092337          0    0.999997
    506            48    0.973610  0.00091993          0    0.999997
    507            51    0.973749  0.00091668          0    0.999997
    508            53    0.973894  0.00091323          0    0.999997
    509            49    0.974028  0.00090964          0    0.999997
    510            53    0.974173  0.00090630          0    0.999997
    511            51    0.974312  0.00090269          0    0.999997
    512            60    0.974476  0.00089921          0    0.999997
    513            47    0.974604  0.00089511          0    0.999997
    514            53    0.974749  0.00089189          0    0.999997
    515            47    0.974877  0.00088825          0    0.999997
